station_name,pref_cd,post,address,lon,lat
東京,13,100-0005,東京都千代田区丸の内一丁目9-1,139.76610300000002,35.681391
新橋,13,105-0004,東京都港区新橋二丁目17,139.758587,35.666195
品川,13,108-0074,東京都港区高輪三丁目26-26,139.738999,35.62876
川崎,14,210-0007,川崎市川崎区駅前本町,139.697485,35.531310999999995
浜川崎,14,210-0855,川崎市川崎区南渡田町,139.713575,35.509863
府中本町,13,183-0027,府中市本町１丁目,139.477142,35.665766
横浜,14,220-0011,横浜市西区高島２丁目,139.622704,35.466195
大船,14,247-0056,鎌倉市大船１丁目,139.531127,35.353466
武蔵小杉,14,211-0063,川崎市中原区小杉町三丁目492,139.663278,35.575965000000004
戸塚,14,244-0003,横浜市戸塚区戸塚町,139.53428200000002,35.400432
茅ケ崎,14,253-0043,神奈川県茅ヶ崎市元町1-1,139.407197,35.330740999999996
橋本,14,252-0143,神奈川県相模原市緑区橋本六丁目1番25号,139.34458600000002,35.594975
新宿,13,160-0022,東京都新宿区新宿三丁目38-1,139.70046399999998,35.689729
立川,13,190-0012,東京都立川市曙町二丁目1-1,139.413704,35.698202
八王子,13,192-0083,東京都八王子市旭町1-1,139.338998,35.655555
神田,13,101-0044,東京都千代田区鍛冶町二丁目13-1,139.77064099999998,35.691173
四ツ谷,13,160-0004,東京都新宿区四谷一丁目,139.73064399999998,35.686040999999996
吉祥寺,13,180-0003,東京都武蔵野市吉祥寺南町,139.57976499999998,35.703119
三鷹,13,181-0013,東京都三鷹市下連雀三丁目46-1,139.560325,35.702683
国分寺,13,185-0012,東京都国分寺市本町二丁目1-23,139.480841,35.700123
西国分寺,13,185-0013,国分寺市西恋ケ窪２丁目,139.465994,35.699744
日野,13,191-0061,日野市大坂上１丁目,139.39393,35.679244
豊田,13,191-0053,日野市豊田４丁目,139.381495,35.659502
西八王子,13,193-0835,八王子市千人町２丁目,139.31264,35.656621
高尾,13,193-0844,八王子市高尾町,139.282288,35.642026
西荻窪,13,167-0053,杉並区西荻南３丁目,139.59936100000002,35.703842
荻窪,13,167-0043,杉並区上荻１丁目,139.620109,35.704522999999995
阿佐ケ谷,13,166-0004,東京都杉並区阿佐谷南三丁目36-2,139.635868,35.704817999999996
高円寺,13,166-0003,杉並区高円寺南４丁目,139.649664,35.705326
中野,13,164-0001,中野区中野５丁目,139.66583500000002,35.705765
代々木,13,151-0053,東京都渋谷区代々木一丁目34-1,139.702042,35.683061
御茶ノ水,13,101-0062,千代田区神田駿河台２丁目,139.76495500000001,35.699605
秋葉原,13,101-0021,東京都千代田区外神田一丁目17-6,139.77328799999998,35.698619
西船橋,12,273-0031,船橋市西船４丁目,139.959536,35.707283000000004
錦糸町,13,130-0022,墨田区江東橋３丁目,139.81413600000002,35.696802000000005
新小岩,13,124-0024,葛飾区新小岩１丁目,139.857777,35.716903
市川,12,272-0034,市川市市川１丁目,139.908142,35.728903
船橋,12,273-0005,船橋市本町７丁目,139.98470700000001,35.701865000000005
津田沼,12,275-0016,習志野市津田沼１丁目,140.020179,35.691367
稲毛,12,263-0031,千葉市稲毛区稲毛東３丁目,140.09256000000002,35.637264
千葉,12,260-0031,千葉市中央区新千葉１丁目,140.112837,35.613425
拝島,13,196-0003,昭島市松原町４丁目,139.343468,35.721278000000005
高麗川,11,350-1205,日高市原宿,139.33809,35.896328000000004
上野,13,110-0005,東京都台東区上野七丁目1-1,139.777043,35.71379
日暮里,13,116-0013,東京都荒川区西日暮里二丁目,139.771287,35.727908
新松戸,12,270-0017,松戸市幸谷,139.921076,35.825466999999996
大崎,13,141-0032,東京都品川区大崎一丁目21-4,139.72843899999998,35.619772
恵比寿,13,150-0022,東京都渋谷区恵比寿南一丁目5-5,139.71007,35.646685
渋谷,13,150-0043,東京都渋谷区道玄坂一丁目1-1,139.701238,35.658871000000005
池袋,13,170-0000,東京都豊島区,139.71108600000002,35.730256
赤羽,13,115-0045,北区赤羽１丁目,139.72092800000001,35.778026000000004
武蔵浦和,11,336-0021,さいたま市南区別所七丁目12-1,139.64680900000002,35.845422
大宮,11,330-0853,さいたま市大宮区錦町,139.62405,35.906439
日進,11,331-0823,さいたま市北区日進町２丁目,139.606111,35.931554999999996
指扇,11,331-0074,さいたま市西区宝来,139.564951,35.917023
南古谷,11,350-0023,川越市並木,139.519082,35.903344
川越,11,350-1122,川越市脇田町,139.483078,35.906742
尾久,13,114-0011,北区昭和町１丁目,139.753846,35.746829999999996
浦和,11,330-0063,さいたま市浦和区高砂１丁目,139.65710900000002,35.858496
さいたま新都心,11,330-0843,さいたま市大宮区吉敷町４丁目５７番地３,139.633587,35.893867
本千葉,12,260-0854,千葉市中央区長洲町１丁目,140.120987,35.601202
蘇我,12,260-0834,千葉市中央区今井２丁目,140.130767,35.582065
安房鴨川,12,296-0001,鴨川市横渚,140.103566,35.107465000000005
佐倉,12,285-0812,佐倉市六崎,140.226722,35.709742999999996
松岸,12,288-0837,銚子市長塚町,140.795143,35.739385999999996
銚子,12,288-0044,銚子市西芝町１丁目,140.827557,35.729449
我孫子,12,270-1151,我孫子市本町２丁目,140.01046599999998,35.87279
池袋,13,171-0022,東京都豊島区南池袋一丁目28-2,139.71108600000002,35.730256
四街道,12,284-0005,四街道市四街道１丁目,140.165023,35.662756
成田,12,286-0033,成田市花崎町,140.313853,35.777796
空港第２ビル（第２旅客ターミナル）,12,282-0004,千葉県成田市古込字古込1-1,140.387163,35.773693
成田空港（第１旅客ターミナル）,12,282-0011,千葉県成田市三里塚御料牧場1-1,140.38464399999998,35.763983
佐原,12,287-0003,香取市佐原イ,140.494074,35.894521999999995
香取,12,287-0011,香取市津宮,140.532367,35.897856
木更津,12,292-0831,木更津市富士見１丁目,139.92611000000002,35.381668
大網,12,299-3244,千葉県大網白里市南玉21-7,140.311111,35.522427
成東,12,289-1345,山武市津辺,140.410109,35.608513
南浦和,11,336-0017,さいたま市南区南浦和２丁目,139.669125,35.847648
田端,13,114-0013,東京都北区東田端一丁目17-1,139.76122900000001,35.737781
西日暮里,13,116-0013,東京都荒川区西日暮里五丁目22-1,139.76685700000002,35.731953999999995
