station_name,1R,1K,1DK,1LDK,2K,2DK,2LDK,3K,3DK,3LDK,4K,4DK,pref_cd,lon,lat
東京,,9.98,15.65,20.4,,,,,,,,,13.0,139.76610300000002,35.681391
有楽町,,11.0,,,,,,,,,,,13.0,139.76380600000002,35.675441
新橋,12.28,11.5,14.99,23.74,,,30.97,,,,,,13.0,139.758587,35.666195
浜松町,12.57,11.14,15.89,20.82,,22.0,35.26,,,33.18,,,13.0,139.757135,35.655390999999995
田町,11.67,10.25,14.27,20.99,,,27.73,,,38.13,,,13.0,139.747575,35.645736
高輪ゲートウェイ,11.99,10.67,14.58,22.68,,,24.37,,,,,,13.0,139.7407,35.6355
品川,9.83,9.74,,21.5,,,34.87,,,34.52,,,13.0,139.738999,35.62876
大崎,9.69,9.57,11.62,18.67,,12.61,25.14,,,,,,13.0,139.72843899999998,35.619772
五反田,11.02,9.46,13.29,18.1,13.0,12.52,24.16,,,,,,13.0,139.72382199999998,35.625974
目黒,11.97,11.04,12.92,20.82,11.06,,32.12,,,35.99,,,13.0,139.715775,35.633922999999996
恵比寿,12.33,11.41,15.24,23.97,14.12,23.39,33.22,,,55.18,,,13.0,139.71007,35.646685
渋谷,12.21,11.61,17.54,27.35,18.58,,45.85,,,48.65,,,13.0,139.701238,35.658871000000005
原宿,10.72,12.31,14.94,24.65,,,56.36,,,81.08,,,13.0,139.70259199999998,35.670646000000005
代々木,10.83,10.51,12.73,20.09,,,29.24,,,37.4,,,13.0,139.702042,35.683061
新宿,9.53,11.49,13.04,19.88,,,27.79,,,,,,13.0,139.70046399999998,35.689729
新大久保,7.96,8.73,11.34,15.54,11.8,,,,,,,,13.0,139.700261,35.700875
高田馬場,8.0,9.89,11.62,16.87,,12.97,23.71,,,23.33,,,13.0,139.703715,35.712677
目白,8.02,9.37,11.81,15.94,,,20.68,,,23.48,,,13.0,139.706228,35.720476
池袋,8.38,9.06,12.68,16.2,12.34,13.28,23.78,,,33.34,,,13.0,139.71108600000002,35.730256
大塚,8.05,8.72,10.77,14.29,10.35,11.43,19.75,,,,,,13.0,139.728584,35.731412
巣鴨,8.07,9.33,10.44,15.35,10.18,12.13,19.78,14.25,,,,,13.0,139.739303,35.733445
駒込,8.07,9.24,10.49,15.48,10.27,13.29,20.6,,,,,,13.0,139.748053,35.736825
田端,7.88,8.85,9.01,12.74,9.01,11.27,16.91,,28.2,,,,13.0,139.76122900000001,35.737781
西日暮里,7.57,8.52,9.94,14.59,8.7,10.9,20.19,,,21.88,,,13.0,139.76685700000002,35.731953999999995
日暮里,7.8,8.44,9.68,13.38,10.31,10.82,20.38,,,25.0,,,13.0,139.771287,35.727908
鶯谷,7.55,9.59,10.05,15.11,8.35,11.38,16.12,,,27.48,,,13.0,139.77801499999998,35.721484000000004
上野,9.39,10.21,13.08,16.2,,,20.97,,,22.55,,,13.0,139.777043,35.71379
御徒町,8.91,10.1,13.36,16.49,10.36,,23.52,,,23.5,,,13.0,139.774727,35.707282
秋葉原,10.12,10.23,14.98,17.22,13.6,18.51,24.29,,,,,,13.0,139.77328799999998,35.698619
神田,11.06,9.89,14.56,16.55,,,24.35,,21.0,,,,13.0,139.77064099999998,35.691173
大宮,6.55,6.96,8.81,11.95,,8.74,16.98,,,17.33,,,11.0,139.62405,35.906439
さいたま新都心,,6.99,8.2,9.39,,7.58,13.49,,,17.02,,,11.0,139.633587,35.893867
与野,5.58,6.03,,11.07,,7.34,12.61,,,13.98,,,11.0,139.63908500000002,35.884392999999996
北浦和,6.37,6.08,7.62,10.78,,7.57,10.84,,10.23,15.76,,,11.0,139.645951,35.872053
浦和,5.88,6.91,,12.7,8.11,7.24,13.37,,,17.76,,,11.0,139.65710900000002,35.858496
南浦和,6.13,6.72,6.23,11.92,5.73,8.6,11.77,,9.61,13.61,,,11.0,139.669125,35.847648
蕨,5.56,6.18,,10.69,,7.68,11.88,,10.48,,,,11.0,139.690357,35.827959
西川口,5.56,7.29,8.79,8.7,7.69,8.01,10.47,,9.66,,,,11.0,139.70431200000002,35.815514
川口,6.1,7.63,8.6,11.11,,8.78,12.04,,,15.9,,,11.0,139.717472,35.801869
赤羽,7.03,8.45,9.65,14.67,9.95,12.46,17.62,,15.33,,,,13.0,139.72092800000001,35.778026000000004
東十条,6.67,7.87,8.51,11.28,8.72,10.12,16.48,,13.71,15.79,,,13.0,139.72685800000002,35.763803
