station,1R,1K,1DK,1LDK,2K,2DK,2LDK,3K,3DK,3LDK,4K,4DK
東京,,9.98,15.65,20.40,,,,,,,,
有楽町,,11.00,,,,,,,,,,
新橋,12.28,11.50,14.99,23.74,,,30.97,,,,,
浜松町,12.57,11.14,15.89,20.82,,22.00,35.26,,,33.18,,
田町,11.67,10.25,14.27,20.99,,,27.73,,,38.13,,
高輪ゲートウェイ,11.99,10.67,14.58,22.68,,,24.37,,,,,
品川,9.83,9.74,,21.50,,,34.87,,,34.52,,
大崎,9.69,9.57,11.62,18.67,,12.61,25.14,,,,,
五反田,11.02,9.46,13.29,18.10,13.00,12.52,24.16,,,,,
目黒,11.97,11.04,12.92,20.82,11.06,,32.12,,,35.99,,
恵比寿,12.33,11.41,15.24,23.97,14.12,23.39,33.22,,,55.18,,
渋谷,12.21,11.61,17.54,27.35,18.58,,45.85,,,48.65,,
原宿,10.72,12.31,14.94,24.65,,,56.36,,,81.08,,
代々木,10.83,10.51,12.73,20.09,,,29.24,,,37.40,,
新宿,9.53,11.49,13.04,19.88,,,27.79,,,,,
新大久保,7.96,8.73,11.34,15.54,11.80,,,,,,,
高田馬場,8.00,9.89,11.62,16.87,,12.97,23.71,,,23.33,,
目白,8.02,9.37,11.81,15.94,,,20.68,,,23.48,,
池袋,8.38,9.06,12.68,16.20,12.34,13.28,23.78,,,33.34,,
大塚,8.05,8.72,10.77,14.29,10.35,11.43,19.75,,,,,
巣鴨,8.07,9.33,10.44,15.35,10.18,12.13,19.78,14.25,,,,
駒込,8.07,9.24,10.49,15.48,10.27,13.29,20.60,,,,,
田端,7.88,8.85,9.01,12.74,9.01,11.27,16.91,,28.20,,,
西日暮里,7.57,8.52,9.94,14.59,8.70,10.90,20.19,,,21.88,,
日暮里,7.80,8.44,9.68,13.38,10.31,10.82,20.38,,,25.00,,
鶯谷,7.55,9.59,10.05,15.11,8.35,11.38,16.12,,,27.48,,
上野,9.39,10.21,13.08,16.20,,,20.97,,,22.55,,
御徒町,8.91,10.10,13.36,16.49,10.36,,23.52,,,23.50,,
秋葉原,10.12,10.23,14.98,17.22,13.60,18.51,24.29,,,,,
神田,11.06,9.89,14.56,16.55,,,24.35,,21.00,,,
大宮,6.55,6.96,8.81,11.95,,8.74,16.98,,,17.33,,
さいたま新都心,,6.99,8.20,9.39,,7.58,13.49,,,17.02,,
与野,5.58,6.03,,11.07,,7.34,12.61,,,13.98,,
北浦和,6.37,6.08,7.62,10.78,,7.57,10.84,,10.23,15.76,,
浦和,5.88,6.91,,12.70,8.11,7.24,13.37,,,17.76,,
南浦和,6.13,6.72,6.23,11.92,5.73,8.60,11.77,,9.61,13.61,,
蕨,5.56,6.18,,10.69,,7.68,11.88,,10.48,,,
西川口,5.56,7.29,8.79,8.70,7.69,8.01,10.47,,9.66,,,
川口,6.10,7.63,8.60,11.11,,8.78,12.04,,,15.90,,
赤羽,7.03,8.45,9.65,14.67,9.95,12.46,17.62,,15.33,,,
東十条,6.67,7.87,8.51,11.28,8.72,10.12,16.48,,13.71,15.79,,
王子,6.71,8.31,8.84,12.16,8.96,10.96,18.36,,15.70,,,
上中里,6.57,7.57,7.04,15.13,,10.72,,,,,,
大井町,8.43,9.46,13.39,15.69,,12.76,22.69,,,30.18,,
大森,8.24,8.73,10.97,14.40,10.08,13.61,19.27,,,,,
蒲田,8.55,8.54,11.13,14.09,9.57,11.41,16.11,,,16.91,,
川崎,7.03,7.73,9.87,13.29,,10.04,14.33,,,16.83,,
鶴見,6.31,7.66,8.20,11.15,,10.13,15.66,,12.57,17.54,,
新子安,5.56,6.93,,10.48,,,17.20,,,,,
東神奈川,7.39,8.05,10.75,11.53,,8.84,,,,,,
横浜,7.80,8.26,11.20,17.51,,10.86,25.42,,,25.90,,
桜木町,6.31,8.25,9.85,11.84,,,31.12,,,37.33,,
関内,6.97,7.88,10.00,14.28,9.23,9.35,20.76,,,17.05,,
石川町,6.52,7.38,9.29,13.14,,,26.50,,,22.19,,
山手,5.37,6.42,8.40,9.75,,9.22,,,,,,
根岸,5.49,7.30,8.80,8.81,,9.03,,,,,,
磯子,5.58,5.57,,,7.20,,12.28,,,,,
新杉田,6.02,6.69,,9.25,,7.78,,,,,,
洋光台,,5.98,,8.90,,,9.43,,,,,
港南台,,6.63,,,,,8.13,,,,,
本郷台,5.86,6.44,,,,,,,,,,
大船,6.10,6.82,,11.33,,,15.86,,,15.58,,
御茶ノ水,9.89,10.37,13.28,17.63,,15.56,26.05,,,,,
水道橋,10.75,10.23,13.40,17.37,,15.40,26.02,,,,,
飯田橋,11.27,10.80,13.92,19.73,14.11,,30.08,,,67.00,,
市ケ谷,9.60,10.04,14.63,19.08,13.74,,31.06,,,57.83,,
四ツ谷,10.02,11.11,12.85,17.09,,,37.83,,,51.76,,
信濃町,9.89,10.07,13.70,19.10,15.63,,25.88,,,43.25,,
千駄ケ谷,10.02,11.60,13.77,21.61,,,,,,,,
大久保,9.33,9.10,12.56,17.32,10.48,,23.03,,,29.57,,
東中野,7.83,9.30,10.89,15.40,10.27,12.30,19.11,,,,,
中野,7.51,8.54,11.28,15.59,9.35,12.60,20.62,,,21.66,,
高円寺,7.25,8.33,10.25,15.21,9.99,11.71,19.64,,,,,
阿佐ケ谷,6.74,7.73,10.14,14.08,9.20,13.03,18.06,,,,,
荻窪,7.54,8.10,11.05,13.36,10.97,12.46,15.90,,,,,
西荻窪,7.47,7.85,11.58,14.20,10.24,11.19,22.32,,,,,
吉祥寺,7.19,8.04,9.44,13.44,8.94,14.45,20.46,,,,,
三鷹,8.02,7.36,9.85,13.31,9.57,12.57,20.98,,,24.22,,
武蔵境,7.28,7.29,9.41,13.54,11.67,10.52,14.69,,10.60,19.36,,
東小金井,5.80,6.33,7.29,9.93,8.30,9.05,,,12.50,15.27,,
武蔵小金井,6.09,6.44,7.63,12.37,,8.26,13.83,,10.30,26.85,,
国分寺,5.91,6.61,7.99,10.53,8.92,8.61,,,,,,
西国分寺,5.33,6.15,,,6.34,7.80,9.72,,,,,
